rank,score,feature_jaccard,best_view,id1,cat1,id2,cat2,planted,held_out
273,0.2939,0.2222,core-core,1506.01137,q-bio.PE,2401.09955,q-fin.PR,,False
274,0.2939,0.2222,core-skel,1612.08949,physics.soc-ph,2202.04557,cs.NE,,False
275,0.2939,0.2222,core-skel,1612.08949,physics.soc-ph,2401.01632,q-bio.PE,,False
276,0.2939,0.2222,core-core,1702.01718,math.AP,2202.04557,cs.NE,,False
277,0.2939,0.2222,core-core,2004.01025,cs.LG,2401.00670,eess.SY,,False
278,0.2939,0.2222,core-skel,2208.02457,q-bio.PE,2401.00657,math.OC,,False
279,0.2918,0.2727,core-core,1511.02314,nlin.PS,2308.15326,physics.soc-ph,,False
280,0.2917,0.1667,skel-skel,1402.3007,math-ph,2401.00623,math.AP,,False
281,0.2917,0.1667,skel-skel,1403.3103,math.AP,2401.00661,eess.SY,,False
282,0.2917,0.1667,skel-skel,1403.3103,math.AP,2401.00688,cs.SI,,False
283,0.2917,0.1667,skel-skel,1403.3103,math.AP,2401.00940,econ.TH,,False
284,0.2917,0.1667,skel-skel,1501.04037,cond-mat.supr-con,2007.02182,quant-ph,,False
285,0.2917,0.1667,skel-skel,1501.04037,cond-mat.supr-con,2306.13252,physics.flu-dyn,,False
286,0.2917,0.1667,skel-skel,1504.03074,q-fin.PR,2401.00621,math.AP,,False
287,0.2917,0.1667,skel-skel,1506.01137,q-bio.PE,2012.11533,eess.SY,,False
288,0.2917,0.1667,skel-skel,1506.01137,q-bio.PE,2401.01171,physics.soc-ph,,False
289,0.2917,0.1667,skel-skel,1511.02314,nlin.PS,2007.02182,quant-ph,,False
290,0.2917,0.1667,skel-skel,1511.02314,nlin.PS,2306.13252,physics.flu-dyn,,False
291,0.2917,0.1667,skel-skel,1602.05417,physics.class-ph,2401.01850,nlin.AO,,False
